year,geo,sample,k,role,n_k,base_sum,ratio,lo,hi,se_log
2000,cook_ex_chicago,single_observed,39,placebo,25,208,0.7211538461538463,0.47625959510869825,1.091973526966506,0.21167827547410792
2000,cook_ex_chicago,single_observed,59,placebo,3,67,0.26865671641791045,0.08450163078389868,0.8541424657357783,0.5901344816799486
2000,cook_ex_chicago,single_observed,69,placebo,4,42,0.5714285714285714,0.2049024431594238,1.593590623957771,0.5232681184722836
2000,illinois_ex_cook,all_observed,49,test,64,482,0.7966804979253113,0.6138158532306611,1.034023172314536,0.13304017737766474
2000,illinois_ex_cook,all_observed,29,placebo,161,1723,0.5606500290191526,0.47702620788693784,0.6589333035422597,0.08241094088189055
2000,illinois_ex_cook,all_observed,39,placebo,92,826,0.6682808716707023,0.538767894013971,0.8289271287375056,0.10991004945143978
2000,illinois_ex_cook,all_observed,59,placebo,21,250,0.504,0.32287578604300365,0.7867297920140959,0.227198256197198
2000,illinois_ex_cook,all_observed,69,placebo,21,155,0.8129032258064517,0.5153526027575447,1.2822515128296028,0.2325309883053728
2000,illinois_ex_cook,single_all,49,test,44,360,0.7333333333333333,0.5362403402653725,1.0028670679860534,0.15970300718850133
2000,illinois_ex_cook,single_all,29,placebo,118,1183,0.5984784446322908,0.4953046311474616,0.723143750664528,0.09653955048995552
2000,illinois_ex_cook,single_all,39,placebo,64,618,0.6213592233009708,0.48035996611484827,0.803745756549739,0.13131307237798634
2000,illinois_ex_cook,single_all,59,placebo,19,180,0.6333333333333333,0.39473138246947015,1.016162202766167,0.24122009556196594
2000,illinois_ex_cook,single_all,69,placebo,17,105,0.9714285714285714,0.581934903525807,1.6216134548215941,0.2614332399209677
2000,illinois_ex_cook,single_observed,49,test,44,358,0.7374301675977654,0.5391847570866396,1.0085657002278472,0.15975158470781503
2000,illinois_ex_cook,single_observed,29,placebo,118,1182,0.5989847715736041,0.495720071876246,0.7237608015732132,0.09654325434669024
2000,illinois_ex_cook,single_observed,39,placebo,64,617,0.6223662884927067,0.4811290907953313,0.8050641802013973,0.13132305792567334
2000,illinois_ex_cook,single_observed,59,placebo,19,180,0.6333333333333333,0.39473138246947015,1.016162202766167,0.24122009556196594
2000,illinois_ex_cook,single_observed,69,placebo,17,105,0.9714285714285714,0.581934903525807,1.6216134548215941,0.2614332399209677
2001,chicago,all_observed,49,test,16,128,0.75,0.4460137237819698,1.2611719550472253,0.2651650429449553
2001,chicago,all_observed,29,placebo,45,493,0.5476673427991886,0.40360831811926223,0.743145036669177,0.15572610503106132
2001,chicago,all_observed,39,placebo,25,212,0.7075471698113207,0.4674699430913644,1.0709201840815803,0.2114639003046985
2001,chicago,all_observed,59,placebo,7,75,0.56,0.2580946411971078,1.2150581606245074,0.3952094080237415
2001,chicago,all_observed,69,placebo,5,50,0.6,0.2392737194535834,1.5045530316581057,0.469041575982343
2001,chicago,single_all,49,test,13,100,0.7799999999999999,0.4376557361493842,1.390133727831082,0.29482719841133537
2001,chicago,single_all,29,placebo,29,363,0.4793388429752066,0.3283846839820273,0.6996846612900649,0.19297041109281177
2001,chicago,single_all,39,placebo,18,159,0.6792452830188679,0.41719644561617175,1.1058918630573724,0.24868627572034646
2001,chicago,single_all,59,placebo,4,58,0.4137931034482759,0.15022533050178272,1.1397860260279051,0.5169539431229293
2001,chicago,single_all,69,placebo,4,40,0.6,0.21466893067630913,1.6770009468339409,0.5244044240850758
2001,chicago,single_observed,49,test,13,100,0.7799999999999999,0.4376557361493842,1.390133727831082,0.29482719841133537
2001,chicago,single_observed,29,placebo,29,363,0.4793388429752066,0.3283846839820273,0.6996846612900649,0.19297041109281177
2001,chicago,single_observed,39,placebo,18,159,0.6792452830188679,0.41719644561617175,1.1058918630573724,0.24868627572034646
2001,chicago,single_observed,59,placebo,4,58,0.4137931034482759,0.15022533050178272,1.1397860260279051,0.5169539431229293
2001,chicago,single_observed,69,placebo,4,40,0.6,0.21466893067630913,1.6770009468339409,0.5244044240850758
2001,cook_ex_chicago,all_observed,49,test,23,172,0.8023255813953488,0.5192358581594253,1.2397570939018927,0.22201850003532883
2001,cook_ex_chicago,all_observed,29,placebo,46,566,0.4876325088339223,0.3610664255310103,0.6585643163081719,0.15331638818821497
2001,cook_ex_chicago,all_observed,39,placebo,23,262,0.5267175572519084,0.3439220064637726,0.8066694771002999,0.2174742622994615
