year,firm_id,company,naics2,chicago_sites,chicago_emp,chicago_emp_observed,chicago_sites_emp_unknown,cook_ex_sites,cook_ex_emp,msa_ex_cook_sites,msa_ex_cook_emp,il_ex_msa_sites,il_ex_msa_emp,il_sites,il_emp,n_status_codes,sites_in_and_out_chicago,pct_chicago_emp_observed
1997,007630411,G E CAPITAL RAILCAR SVC,23,21,1178.0,0.0,0,25,775.0,33,1577.0,25,2303.0,104,5833.0,2,True,0.0
1997,009761495,VENTURE STORES INC,45,6,1152.0,0.0,0,16,2250.0,11,1441.0,10,1177.0,43,6020.0,1,True,0.0
1997,884499294,OUR LADY OF THE RESURRECTION,62,1,1150.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1150.0,1,False,0.0
1997,004654984,WELLS FARGO GUARD SVC,56,7,1143.0,0.0,0,0,0.0,5,173.0,4,103.0,16,1419.0,2,True,0.0
1997,181339359,FAVORITE BRANDS FARLEY DIV,31,5,1119.0,0.0,0,2,550.0,1,0.0,0,0.0,8,1669.0,3,True,0.0
1997,006529671,OMNIMAX THEATER,51,2,1100.0,0.0,0,0,0.0,0,0.0,0,0.0,2,1100.0,2,False,0.0
1997,151554680,LOUIS A WEISS MEMORIAL HOSP,62,1,1100.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1100.0,1,False,0.0
1997,004557260,PEPSI-COLA GENERAL BOTTLERS,42,27,1087.0,0.0,0,25,568.0,30,454.0,35,311.0,117,2420.0,3,True,0.0
1997,423671866,ROYAL CROWN BOTTLING CO,42,14,1068.0,0.0,0,26,355.0,27,433.0,60,1075.0,127,2931.0,1,True,0.0
1997,007503485,ADP AUTOMATIC DATA PROCESSING,51,11,1061.0,0.0,0,4,927.0,1,40.0,1,8.0,17,2036.0,1,True,0.0
1997,408242873,ATTORNEY GENERAL,92,10,1056.0,0.0,2,4,170.0,16,360.0,96,1140.0,126,2726.0,2,True,0.0
1997,007517634,HARTMARX CORP,31,4,1051.0,0.0,1,3,904.0,0,0.0,0,0.0,7,1955.0,3,True,0.0
1997,402861561,GREAT AMERICAN MGMT & INVEST,33,2,1030.0,0.0,0,0,0.0,0,0.0,0,0.0,2,1030.0,2,False,0.0
1997,007537913,CULINARY FOODS INC,42,2,1006.0,0.0,0,0,0.0,0,0.0,0,0.0,2,1006.0,2,False,0.0
1997,001738921,WENDY'S,72,30,1003.0,0.0,0,43,1295.0,55,2005.0,67,1904.0,195,6207.0,1,True,0.0
1997,009334079,EDSAL MANUFACTURING CO,33,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,006530562,CHICAGO STATE UNIVERSITY,61,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,902106061,REHABILITATION INSTITUTE,51,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,004373189,UNITED HEALTH CARE,62,1,1000.0,0.0,0,0,0.0,0,0.0,1,8.0,2,1008.0,1,True,0.0
1997,475654059,MIDWEST MEZZANINE FUND,56,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,417443926,UNITED CENTER,71,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,820211076,ART INSTITUTE OF CHICAGO,81,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,001334630,SIDLEY & AUSTIN,54,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,001333087,ST ELIZABETH'S HOSPITAL,62,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
1997,448883215,HARRIS LAMPS,33,2,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,2,1000.0,2,False,0.0
1997,947922084,CENTER FOR ADVANCED MEDICINE,62,1,1000.0,0.0,0,0,0.0,0,0.0,0,0.0,1,1000.0,1,False,0.0
