unit,sample,data_year,threshold,control,chicago_spike,control_spike,gap
firm,firms,2018,50,illinois_ex_cook,10.22680412371134,17.191011235955056,-6.964207112243717
firm,firms,2019,50,illinois_ex_cook,10.147368421052631,17.63005780346821,-7.482689382415577
firm,firms,2020,50,illinois_ex_cook,10.266666666666667,17.604790419161677,-7.33812375249501
firm,firms,2021,50,illinois_ex_cook,10.627906976744184,17.070588235294117,-6.442681258549934
firm,firms,2022,50,illinois_ex_cook,10.55813953488372,16.508670520231213,-5.950530985347493
firm,firms,2023,50,illinois_ex_cook,10.0,16.127167630057805,-6.127167630057805
firm,firms,2024,50,illinois_ex_cook,10.50602409638554,16.49397590361446,-5.987951807228919
firm,firms,2025,50,illinois_ex_cook,10.265060240963855,16.16867469879518,-5.903614457831324
firm,firms,2018,60,illinois_ex_cook,48.22222222222222,31.80952380952381,16.41269841269841
firm,firms,2019,60,illinois_ex_cook,35.833333333333336,30.74418604651163,5.0891472868217065
firm,firms,2020,60,illinois_ex_cook,43.2,29.155555555555555,14.044444444444448
firm,firms,2021,60,illinois_ex_cook,43.0,30.511627906976745,12.488372093023255
firm,firms,2022,60,illinois_ex_cook,44.4,31.61904761904762,12.780952380952378
firm,firms,2023,60,illinois_ex_cook,38.36363636363637,29.571428571428573,8.792207792207794
firm,firms,2024,60,illinois_ex_cook,42.0,30.341463414634145,11.658536585365855
firm,firms,2025,60,illinois_ex_cook,41.0,30.95,10.05
