company,firm_id,naics2,naics3,n_components,n_estab,emp_all,emp_clean,emp_obs,n_flagged,group,wfh_rate,emp_unadjusted,qualifies_unadjusted,emp_census,qualifies_census,emp_census_all_outside,qualifies_census_all_outside
KPMG,433570033,54,541,1,1.0,1300.0,1300.0,1300.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1300.0,True,1176.090724790687,True,896.8928833880142,True
ALLIANCE GROUND INTL,789889894,48,488,1,4.0,1259.0,1259.0,1250.0,0.0,"Transportation and warehousing, and utilities",0.07896904951528301,1259.0,True,1228.4391103920361,True,1159.5779666602587,True
CHASE,433091519,52,522,1,82.0,1251.0,1251.0,1043.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1251.0,True,1143.9975489991466,True,902.894909234951,True
AMERICAN MEDICAL ASSN,496971326,51,813,1,4.0,1235.0,1235.0,1230.0,0.0,Information,0.29816404791801,1235.0,True,1121.8106451303402,True,866.7674008212576,True
PEOPLES GAS,832371389,21,221,1,6.0,1224.0,1224.0,1200.0,0.0,"Agriculture, forestry, fishing and hunting, and mining",0.1290864935550159,1224.0,True,1175.4325196639027,True,1065.9981318886605,True
WALMART SUPERCENTER,005889993,44,452,1,19.0,1217.0,1217.0,870.0,0.0,Retail trade,0.09332612079434856,1217.0,True,1182.087805879217,True,1103.4221109932778,True
MONDELEZ INTERNATIONAL INC,860048156,31,311,1,2.0,1203.0,1203.0,1200.0,0.0,Manufacturing,0.11379548024349065,1203.0,True,1160.920168554988,True,1066.1040372670807,True
AT WORLD PROPERTIES LLC,713858228,53,531,1,14.0,1185.0,1185.0,1148.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1185.0,True,1083.6427622413978,True,855.2601658220759,True
SEYFARTH SHAW LLP,001330794,54,541,1,4.0,1140.0,1140.0,1001.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1140.0,True,1031.341097124141,True,786.5060669710278,True
TRANSUNION INTERMEDIATE HLDNGS,434533054,52,561,1,4.0,1139.0,1139.0,1100.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1139.0,True,1041.577304804179,True,822.0601931403751,True
BHHS CHICAGO,002363950,52,531,1,31.0,1138.0,1138.0,996.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1138.0,True,1040.6628383381526,True,821.3384546038163,True
JAMESON SOTHEBY'S INTL REALTY,416148006,53,531,1,29.0,1135.0,1135.0,944.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1135.0,True,1037.9194389400732,True,819.1732389941402,True
CHICAGO STATE UNIVERSITY,738420292,61,611,1,5.0,1121.0,1121.0,950.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,1121.0,True,1086.4093812135166,True,1008.4682740473675,True
CBOE FUTURES EXCHANGE LLC,458460003,23,523,1,7.0,1116.0,1116.0,900.0,0.0,Construction,0.08411530495864025,1116.0,True,1087.144900938779,True,1022.1273196661575,True
ROCKFON LLC,367784493,23,332,1,1.0,1112.0,1112.0,1112.0,0.0,Construction,0.08411530495864025,1112.0,True,1083.2483242329054,True,1018.463780885992,True
UNI CARE LIFE & HEALTH INS CO,582011136,62,524,1,3.0,1105.0,1105.0,1100.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,1105.0,True,1070.9030920971773,True,994.0744360591802,True
EDSAL MANUFACTURING CO INC,385902457,44,337,1,2.0,1105.0,1105.0,1100.0,0.0,Retail trade,0.09332612079434856,1105.0,True,1073.3007604737345,True,1001.8746365222448,True
PATRICK J MCNERNEY MEYER BROWN,416870134,54,541,1,1.0,1105.0,1105.0,1105.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1105.0,True,999.677116072084,True,762.358950879812,True
DEPAUL UNIVERSITY-LOOP CAMPUS,721488907,45,611,1,4.0,1089.0,1089.0,1001.0,0.0,Retail trade,0.09332612079434856,1089.0,True,1057.759753987237,True,987.3678544549545,True
ALDI,200026573,44,445,1,34.0,1061.0,1061.0,0.0,0.0,Retail trade,0.09332612079434856,1061.0,True,1030.5629926358663,True,961.9809858371962,True
MATTRESS FIRM,237855895,33,442,1,14.0,1061.0,1061.0,1004.0,0.0,Manufacturing,0.11379548024349065,1061.0,True,1023.8871977031108,True,940.2629954616564,True
GREAT DANE TRAILERS,007656051,42,336,1,3.0,1055.0,1055.0,1050.0,0.0,Wholesale trade,0.1625466740423178,1055.0,True,1002.2874654803577,True,883.5132588853547,True
RATE,746795206,52,522,1,21.0,1037.0,1037.0,957.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1037.0,True,948.3017252694765,True,748.4428624113863,True
POTBELLY CORP,224249342,53,722,1,51.0,1036.0,1036.0,742.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1036.0,True,947.38725880345,True,747.7211238748275,True
AON CORP,003901832,52,524,1,6.0,1029.0,1029.0,1013.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1029.0,True,940.9859935412645,True,742.6689541189165,True
KIRKLAND & ELLIS LLP,467853073,54,541,1,3.0,1009.0,1009.0,1000.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1009.0,True,912.8273394721564,True,696.1268610296202,True
CHIPOTLE MEXICAN GRILL,557193513,72,722,1,43.0,1008.0,1008.0,634.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,1008.0,True,986.5397257670272,True,938.1844897959184,True
MOTOROLA MOBILITY HOLDINGS LLC,611335779,53,334,1,1.0,1001.0,1001.0,1001.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1001.0,True,915.3809324925226,True,722.4602750952726,True
MCCORMICK PLACE,243185816,71,722,1,1.0,1001.0,1001.0,1001.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,1001.0,True,979.6887554492007,True,931.6693197278912,True
RSM US LLP,148003965,52,541,1,1.0,1000.0,1000.0,1000.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,1000.0,True,914.4664660264962,True,721.7385365587138,True
AMERICAN MEDICAL ASSOC,458512076,81,813,1,1.0,1000.0,1000.0,1000.0,0.0,Other services (except public administration),0.13723383599767006,1000.0,True,957.8163112187551,True,862.7661640023299,True
METROPOLITAN PIER & EXPOSITION,507800415,71,561,1,1.0,1000.0,1000.0,1000.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,1000.0,True,978.7100454037969,True,930.7385811467444,True
CLARK CONSTRUCTION GROUP,367209509,23,236,1,1.0,1000.0,1000.0,1000.0,0.0,Construction,0.08411530495864025,1000.0,True,974.1441764684402,True,915.8846950413597,True
SIDLEY AUSTIN LLP,533767356,54,541,1,1.0,1000.0,1000.0,1000.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1000.0,True,904.6851729159132,True,689.9176026061648,True
INPUT CENTER INC,410776136,56,561,1,1.0,1000.0,1000.0,1000.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,1000.0,True,904.6851729159132,True,689.9176026061648,True
MC AULEY RESIDENCE,401537560,62,623,1,1.0,1000.0,1000.0,1000.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,1000.0,True,969.1430697712012,True,899.6148742617015,True
ISMS DIVISION OF SPECIALTY SVC,400403224,62,236,1,1.0,1000.0,1000.0,1000.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,1000.0,True,969.1430697712012,True,899.6148742617015,True
CHICAGO SYMPHONY CTR,475652731,71,711,1,1.0,1000.0,1000.0,1000.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,1000.0,True,978.7100454037969,True,930.7385811467444,True
MISERICORDIA HOME,151796745,81,813,1,1.0,1000.0,1000.0,1000.0,0.0,Other services (except public administration),0.13723383599767006,1000.0,True,957.8163112187551,True,862.7661640023299,True
NORCON INC,367448727,23,236,1,1.0,1000.0,1000.0,1000.0,0.0,Construction,0.08411530495864025,1000.0,True,974.1441764684402,True,915.8846950413597,True
MILLER COORS LLC,007500598,42,424,1,3.0,1000.0,1000.0,1000.0,0.0,Wholesale trade,0.1625466740423178,1000.0,True,950.0355123036566,True,837.4533259576822,True
AMER ASSOCIATION OF MEDICAL,610824542,81,813,1,1.0,1000.0,1000.0,1000.0,0.0,Other services (except public administration),0.13723383599767006,1000.0,True,957.8163112187551,True,862.7661640023299,True
AMAZING CHICAGO'S FUNHOUSE MZ,720809648,71,713,1,1.0,1000.0,0.0,1000.0,1.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,1000.0,True,978.7100454037969,True,930.7385811467444,True
FAIRMONT CHICAGO-MILLENNIUM,438897461,72,721,1,3.0,1000.0,1000.0,1000.0,0.0,"Arts, entertainment, and recreation, and accommodation and food services",0.06926141885325558,1000.0,True,978.7100454037969,True,930.7385811467444,True
THOREK MEMORIAL HOSP ANDRSNVLL,713247635,62,622,1,6.0,998.0,998.0,926.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,998.0,True,967.2047836316589,True,897.8156445131782,True
COLUMBIA COLLEGE CHICAGO,748156067,61,611,1,7.0,979.0,979.0,881.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,979.0,True,948.791065306006,True,880.7229619022058,True
TRUE VALUE CO,539863209,42,444,1,16.0,978.0,978.0,974.0,0.0,Wholesale trade,0.1625466740423178,978.0,True,929.1347310329761,True,819.0293527866132,True
NORDSTROM,006131684,56,452,1,7.0,959.0,959.0,790.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,959.0,True,867.5930808263607,True,661.630980899312,True
WILLIAM BLAIR & CO LLC,402888671,52,523,1,1.0,920.0,920.0,920.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,920.0,True,841.3091487443764,True,663.9994536340167,True
WINSTON & STRAWN LLP,001334648,54,541,1,2.0,907.0,907.0,900.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,907.0,True,820.5494518347332,True,625.7552655637915,True
WILLIS TOWERS WATSON,592127328,52,524,1,2.0,903.0,903.0,900.0,0.0,"Finance and insurance, and real estate and rental and leasing",0.27826146344128616,903.0,True,825.763218821926,True,651.7298985125186,True
DD'S DISCOUNTS,104275698,45,452,1,21.0,901.0,901.0,190.0,0.0,Retail trade,0.09332612079434856,901.0,True,875.1529277708912,True,816.913165164292,True
JENNER & BLOCK LLP,001332337,54,541,1,2.0,900.0,900.0,900.0,0.0,"Professional, scientific, and management, and administrative and waste management services",0.31008239739383525,900.0,True,814.2166556243219,True,620.9258423455483,True
OMNIMAX THEATER,006529671,51,512,1,2.0,900.0,900.0,900.0,0.0,Information,0.29816404791801,900.0,True,817.5138304593572,True,631.652356873791,True
OSI INDUSTRIES LLC,006961734,31,311,1,2.0,900.0,900.0,900.0,0.0,Manufacturing,0.11379548024349065,900.0,True,868.5188293428838,True,797.5840677808584,True
ILLINOIS INSTITUTE-TECH CAMPUS,408172047,81,519,1,1.0,900.0,900.0,900.0,0.0,Other services (except public administration),0.13723383599767006,900.0,True,862.0346800968796,True,776.489547602097,True
VEDDER PRICE PC,820362325,51,541,1,1.0,900.0,900.0,900.0,0.0,Information,0.29816404791801,900.0,True,817.5138304593572,True,631.652356873791,True
FREEDMAN SEATING CO,151162567,42,335,1,1.0,900.0,900.0,900.0,0.0,Wholesale trade,0.1625466740423178,900.0,True,855.031961073291,True,753.707993361914,True
OZINGA,628493280,23,444,1,8.0,898.0,898.0,844.0,0.0,Construction,0.08411530495864025,898.0,True,874.7814704686592,True,822.464456147141,True
TJ MAXX,839897758,45,452,1,20.0,890.0,890.0,429.0,0.0,Retail trade,0.09332612079434856,890.0,True,864.4684858114241,True,806.9397524930298,True
ST ANTHONY HOSPITAL,439851547,62,622,1,2.0,871.0,871.0,825.0,0.0,"Educational services, and health care and social assistance",0.10038512573829843,871.0,True,844.1236137707162,True,783.5645554819421,True
