data_year,geography,unit,sample,threshold,n_units,n_at_threshold,n_neighbours,spike_ratio
2024,illinois_ex_cook,establishment,all,60,358588,943,143,13.188811188811188
2024,illinois_ex_cook,establishment,rows,40,150390,1500,114,26.31578947368421
2024,illinois_ex_cook,establishment,rows,50,150390,1935,209,18.516746411483254
2024,illinois_ex_cook,establishment,rows,60,150390,892,43,41.48837209302326
2024,illinois_ex_cook,firm,all,40,307239,1155,314,7.356687898089172
2024,illinois_ex_cook,firm,all,50,307239,1454,292,9.95890410958904
2024,illinois_ex_cook,firm,all,60,307239,673,133,10.1203007518797
2024,illinois_ex_cook,firm,rows,40,121095,1064,93,22.881720430107528
2024,illinois_ex_cook,firm,rows,50,121095,1399,179,15.631284916201118
2024,illinois_ex_cook,firm,rows,60,121095,648,54,24.0
2024,illinois_ex_cook,firm,firms,40,118646,1037,78,26.58974358974359
2024,illinois_ex_cook,firm,firms,50,118646,1369,166,16.49397590361446
2024,illinois_ex_cook,firm,firms,60,118646,622,41,30.341463414634145
2025,chicago,establishment,all,40,129273,417,124,6.725806451612903
2025,chicago,establishment,all,50,129273,591,157,7.528662420382165
2025,chicago,establishment,all,60,129273,300,55,10.909090909090908
2025,chicago,establishment,rows,40,36121,385,31,24.838709677419356
2025,chicago,establishment,rows,50,36121,551,94,11.72340425531915
2025,chicago,establishment,rows,60,36121,278,12,46.333333333333336
2025,chicago,firm,all,40,118825,340,113,6.017699115044247
2025,chicago,firm,all,50,118825,465,141,6.595744680851064
2025,chicago,firm,all,60,118825,227,56,8.107142857142858
2025,chicago,firm,rows,40,31625,320,29,22.06896551724138
2025,chicago,firm,rows,50,31625,449,87,10.32183908045977
2025,chicago,firm,rows,60,31625,212,15,28.266666666666666
2025,chicago,firm,firms,40,30654,304,23,26.434782608695652
2025,chicago,firm,firms,50,30654,426,83,10.265060240963855
2025,chicago,firm,firms,60,30654,205,10,41.0
2025,cook_ex_chicago,establishment,all,40,122222,523,110,9.50909090909091
2025,cook_ex_chicago,establishment,all,50,122222,744,138,10.782608695652174
2025,cook_ex_chicago,establishment,all,60,122222,301,58,10.379310344827585
2025,cook_ex_chicago,establishment,rows,40,40238,480,44,21.818181818181817
2025,cook_ex_chicago,establishment,rows,50,40238,717,78,18.384615384615383
2025,cook_ex_chicago,establishment,rows,60,40238,269,6,89.66666666666667
2025,cook_ex_chicago,firm,all,40,108984,402,88,9.136363636363637
2025,cook_ex_chicago,firm,all,50,108984,546,115,9.495652173913044
2025,cook_ex_chicago,firm,all,60,108984,239,59,8.101694915254237
2025,cook_ex_chicago,firm,rows,40,33639,378,26,29.076923076923077
2025,cook_ex_chicago,firm,rows,50,33639,550,70,15.714285714285714
2025,cook_ex_chicago,firm,rows,60,33639,219,8,54.75
2025,cook_ex_chicago,firm,firms,40,32648,366,21,34.857142857142854
2025,cook_ex_chicago,firm,firms,50,32648,524,64,16.375
2025,cook_ex_chicago,firm,firms,60,32648,208,7,59.42857142857143
2025,illinois_ex_cook,establishment,all,40,358783,1574,316,9.962025316455696
2025,illinois_ex_cook,establishment,all,50,358783,1974,365,10.816438356164383
2025,illinois_ex_cook,establishment,all,60,358783,930,154,12.077922077922079
2025,illinois_ex_cook,establishment,rows,40,146449,1477,114,25.912280701754387
2025,illinois_ex_cook,establishment,rows,50,146449,1893,211,17.94312796208531
2025,illinois_ex_cook,establishment,rows,60,146449,882,41,43.02439024390244
2025,illinois_ex_cook,firm,all,40,307014,1100,271,8.118081180811808
2025,illinois_ex_cook,firm,all,50,307014,1415,311,9.09967845659164
2025,illinois_ex_cook,firm,all,60,307014,671,139,9.654676258992806
2025,illinois_ex_cook,firm,rows,40,117658,1040,96,21.666666666666668
2025,illinois_ex_cook,firm,rows,50,117658,1369,179,15.296089385474861
2025,illinois_ex_cook,firm,rows,60,117658,644,54,23.85185185185185
2025,illinois_ex_cook,firm,firms,40,115194,1016,77,26.38961038961039
2025,illinois_ex_cook,firm,firms,50,115194,1342,166,16.16867469879518
2025,illinois_ex_cook,firm,firms,60,115194,619,40,30.95
