year,geo,band,n_establishments,n_observed,n_single,employment,employment_observed
2009,cook_ex_chicago,50-99,2993,2843,2207,190456.0,179820.0
2009,cook_ex_chicago,500-999,129,129,63,81862.0,81862.0
2009,cook_ex_chicago,unknown,205,0,83,0.0,0.0
2009,il_ex_msa,1-9,142706,94007,126787,465427.0,306929.0
2009,il_ex_msa,10-49,29715,25875,21866,566127.0,500667.0
2009,il_ex_msa,100-249,2039,1990,1283,283515.0,276622.0
2009,il_ex_msa,1000+,105,105,57,251985.0,251985.0
2009,il_ex_msa,250-499,478,470,233,155737.0,152937.0
2009,il_ex_msa,50-99,4209,4013,3024,271367.0,257538.0
2009,il_ex_msa,500-999,170,170,84,110196.0,110196.0
2009,il_ex_msa,unknown,254,0,109,0.0,0.0
2009,msa_ex_cook,1-9,108264,58315,97825,370494.0,201122.0
2009,msa_ex_cook,10-49,24130,20560,17743,455211.0,398185.0
2009,msa_ex_cook,100-249,2098,1999,1205,293790.0,278998.0
2009,msa_ex_cook,1000+,88,88,41,191831.0,191831.0
2009,msa_ex_cook,250-499,453,443,228,143257.0,139967.0
2009,msa_ex_cook,50-99,3711,3557,2695,237413.0,226876.0
2009,msa_ex_cook,500-999,158,158,75,98077.0,98077.0
2009,msa_ex_cook,unknown,253,0,85,0.0,0.0
2010,chicago,1-9,95328,40979,89559,308657.0,140712.0
2010,chicago,10-49,16110,13014,12888,295333.0,249484.0
2010,chicago,100-249,1478,1443,933,206564.0,201340.0
2010,chicago,1000+,110,110,41,268376.0,268376.0
2010,chicago,250-499,381,374,208,120785.0,118528.0
2010,chicago,50-99,2453,2342,1836,157417.0,149451.0
2010,chicago,500-999,178,178,87,110879.0,110879.0
2010,chicago,unknown,1793,0,1608,0.0,0.0
2010,cook_ex_chicago,1-9,86123,41753,78604,298018.0,145523.0
2010,cook_ex_chicago,10-49,18174,14953,13733,340100.0,289593.0
2010,cook_ex_chicago,100-249,1603,1542,956,223560.0,214344.0
2010,cook_ex_chicago,1000+,75,75,32,171498.0,171498.0
2010,cook_ex_chicago,250-499,368,364,181,115878.0,114348.0
2010,cook_ex_chicago,50-99,2966,2792,2155,188690.0,176580.0
2010,cook_ex_chicago,500-999,128,128,65,81030.0,81030.0
2010,cook_ex_chicago,unknown,2015,0,1868,0.0,0.0
